Feature,Date de début,Date de livraison,Description détaillée,Priorité,Responsable,Statut,[Projets_IA]
Changer tout le dashboard,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Changer le mail compte rendu (inclure le compte rendu dans le mail, pas en p.j)",,"February 15, 2024",Avec lien,🔥🔥,Florian,En cours,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Problème bouton envoyer après réception,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Gérer erreur upload fichier 130MB,,"February 15, 2024",ERR_HTTP2_PROTOCOL_ERROR,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Faire page prix complet et fonctionnalités,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Corriger ""Invalid date"" et erreur non indiquée",,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Home: rajouter chiffre qui défile,,"February 15, 2024","Plus de 250,802 hours transcribed",🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Rajouter page Mes transcripts,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Faire une FAQ complète,,"February 15, 2024",Questions et réponses,🔥🔥,Florian,En cours,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Notification pour transcription prête,,"February 15, 2024",Envoi email avec lien,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Vérifier modification adresse mail et impact historique,,"February 15, 2024",Plutôt V2 avec token ID unique,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
"Passer paramètre ""edition""",,"February 15, 2024","Free, Pro, Ent",🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Refaire toute la homepage,,"February 15, 2024",,🔥🔥🔥,Florian,Terminé,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
Intégrer le code dans Webflow pour cacher,,"February 15, 2024",,🔥,Florian,A faire,Agilotext (https://www.notion.so/Agilotext-397e9c0812924157a7570137e82419d5?pvs=21)
